judge_status,public_action,row_count,review_row_count,years,year_range,afrc_name,afrc_place,afrc_address,best_college_id,best_college_name,best_score,second_college_id,second_college_name,second_score,score_gap,match_reason,same_city,risky_group_terms,strong_current_alternative,possible_current_alternatives,agent_a_matcher_reason,agent_b_skeptic_objection,agent_c_historian_policy,agent_e_judge_reason,raw_fee_texts,branch_amounts,sessions,source_pages,source_urls,alternatives
review_possible_current_remap,manual_review,3,3,2019;2020;2021,2019-2021,ITM Group of Institutions (Institute of Information Technology. & Management) (Technical Campus) Gwalior,Gwalior,,h15,"Gwalior Institute of Information Technology, Gwalior",0.675,h73,"Shri Krishna Institute of Technology & Management, Gwalior",0.672,0.003,matched historical/defunct college,yes,,,"570:Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore:0.659","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 570:Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore:0.659; score below 0.900 (0.675)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,0,,2019-2020;2020-2021;2021-2022,AFRC:T:2019:page:2 | AFRC:T:2020:page:2 | AFRC:T:2021:page:2,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h15:Gwalior Institute of Information Technology, Gwalior:0.675; h73:Shri Krishna Institute of Technology & Management, Gwalior:0.672; 570:Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore:0.659"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"ACROPOLIS INSTITUTE OF TECHNOLOGY AND RESEARCH,Bhopal",Bhopal,Secunderabad village Ratibad Road,h49,"Trinity Institute of Technology & Research, Bhopal",0.880,003,"Acropolis Institute of Technology & Research, Indore",0.863,0.017,matched historical/defunct college,yes,ies,,"003:Acropolis Institute of Technology & Research, Indore:0.863","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 003:Acropolis Institute of Technology & Research, Indore:0.863; same-group collision risk: ies; score below 0.900 (0.880)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,24650,,2017-2018;2018-2019,AFRC:T:2018:page:1 | fees.xml:item:11,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h49:Trinity Institute of Technology & Research, Bhopal:0.880; 003:Acropolis Institute of Technology & Research, Indore:0.863; h17:IES Institute of Technology & Management, Bhopal:0.816"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,BALAJI INSTITUTE OF TECHNOLOGY,Barwani,"VILLAGE-KERWAN,POST-KUWAN,TEH-THIKRI,DISTT-BARWANI,MADHYA PRADESH",486,"Shri Balaji Institute of Technology & Management, Betul",0.930,264,"Malwa Institute of Technology, Indore",0.818,0.112,city/address hint conflicts,no,bhopal institute;malwa,,"486:Shri Balaji Institute of Technology & Management, Betul:0.930",Name match conflicts with city/address evidence.,city/place evidence does not confirm the candidate; address/city conflict overrides fuzzy name similarity; same-group collision risk: bhopal institute;malwa,Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Address/city conflict must be resolved by official source evidence.,24300,,2017-2018;2018-2019,AFRC:T:2017:page:1 | AFRC:T:2018:page:1,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"486:Shri Balaji Institute of Technology & Management, Betul:0.930; 264:Malwa Institute of Technology, Indore:0.818; 060:Bhopal Institute of Technology, Bhopal:0.806"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Crescent College of Technology,Bhopal,"OPP. BMHRC, KAROND BY-PASS ROAD, NABIBAGH, BHOPAL",564,"Oriental College of Technology, Bhopal",0.816,135,"IES College of Technology, Bhopal",0.814,0.002,leading name token differs,yes,oriental;ies,"564:Oriental College of Technology, Bhopal:0.816","564:Oriental College of Technology, Bhopal:0.816; 135:IES College of Technology, Bhopal:0.814","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 564:Oriental College of Technology, Bhopal:0.816; distinctive leading token mismatch can indicate a different institute; same-group collision risk: oriental;ies; score below 0.900 (0.816)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,22800,,2017-2018;2018-2019,AFRC:T:2018:page:2 | fees.xml:item:11,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"564:Oriental College of Technology, Bhopal:0.816; 135:IES College of Technology, Bhopal:0.814; h5:All Saints College of Technology, Bhopal:0.765"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Jagadguru Dattatry College of Technology,Indore,"VILLEGE -SINHASA, DHAR ROAD INDORE",171,"Jai Narain College of Technology, Bhopal",0.684,249,"Maharana Pratap College of Technology, Gwalior",0.682,0.002,leading name token differs,no,patel,,"171:Jai Narain College of Technology, Bhopal:0.684; 249:Maharana Pratap College of Technology, Gwalior:0.682","Top score exists, but the first distinctive name token differs from AFRC.",city/place evidence does not confirm the candidate; distinctive leading token mismatch can indicate a different institute; same-group collision risk: patel; score below 0.900 (0.684),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,25000,,2017-2018;2018-2019,AFRC:T:2017:page:3 | AFRC:T:2018:page:3,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"171:Jai Narain College of Technology, Bhopal:0.684; 249:Maharana Pratap College of Technology, Gwalior:0.682; h41:Sardar Patel College of Technology, Balaghat:0.675"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,Jai Narain College of Technology Science,Bhopal,"NEW CHOUKSEY NAGAR,BERASIA ROAD, BHOPAL",207,"Lakshmi Narain College of Technology & Science, Bhopal",0.897,171,"Jai Narain College of Technology, Bhopal",0.875,0.022,leading name token differs,yes,lakshmi narain,"207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827","207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827; distinctive leading token mismatch can indicate a different institute; same-group collision risk: lakshmi narain; score below 0.900 (0.897)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,27500,,2017-2018;2018-2019,AFRC:T:2018:page:3 | fees.xml:item:11,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"207:Lakshmi Narain College of Technology & Science, Bhopal:0.897; 171:Jai Narain College of Technology, Bhopal:0.875; 117:Lakshmi Narain College of Technology Excellence, Bhopal:0.827"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"Lakshmi Narain College of Technology And Science, Gwalior",Gwalior,"Gram Ratwai, Chitora Road, Murar, Gwalior",h20,"Lakshmi Narain College of Technology, Gwalior",0.920,207,"Lakshmi Narain College of Technology & Science, Bhopal",0.879,0.041,matched historical/defunct college,yes,lakshmi narain,,"207:Lakshmi Narain College of Technology & Science, Bhopal:0.879; 393:Lakshmi Narain College of Technology & Science (RIT), Indore:0.865","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 207:Lakshmi Narain College of Technology & Science, Bhopal:0.879; 393:Lakshmi Narain College of Technology & Science (RIT), Indore:0.865; same-group collision risk: lakshmi narain",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:3 | AFRC:T:2018:page:3,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h20:Lakshmi Narain College of Technology, Gwalior:0.920; 207:Lakshmi Narain College of Technology & Science, Bhopal:0.879; 393:Lakshmi Narain College of Technology & Science (RIT), Indore:0.865"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"Priyatam Institute Of Technology & Science, Indore",Indore,,h53,"Vindhya Institute of Technology & Science, Indore",0.943,h72,"Priyatam Institute of Technology, & Management, Indore",0.906,0.037,matched historical/defunct college,yes,vindhya,,"474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.877","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.877; same-group collision risk: vindhya",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:5 | AFRC:T:2018:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h53:Vindhya Institute of Technology & Science, Indore:0.943; h72:Priyatam Institute of Technology, & Management, Indore:0.906; 474:Shri G.S. Institute of Technology & Science, Indore (M.P.):0.877"
review_current_match_ambiguous,manual_review,2,2,2017;2018,2017-2018,"RADHARAMAN INSTITUTE OF RESEARCH AND TECHNOLOGY,BHOPAL",Bhopal,"Fatehpur Dobra, Ratibad, Bhadbhada Road, Bhopal - 462046, Madhya Pradesh",429,"Sagar Institute of Research & Technology, Bhopal",0.909,h28,"NRI Institute of Research & Technology, Bhopal",0.885,0.024,leading name token differs,yes,bansal;sagar institute;radharaman;nri,"429:Sagar Institute of Research & Technology, Bhopal:0.909","429:Sagar Institute of Research & Technology, Bhopal:0.909; 042:Bansal Institute of Research & Technology, Bhopal:0.880","Top score exists, but the first distinctive name token differs from AFRC.","strong same-brand current alternative exists: 429:Sagar Institute of Research & Technology, Bhopal:0.909; distinctive leading token mismatch can indicate a different institute; same-group collision risk: bansal;sagar institute;radharaman;nri",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:5 | AFRC:T:2018:page:5,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"429:Sagar Institute of Research & Technology, Bhopal:0.909; h28:NRI Institute of Research & Technology, Bhopal:0.885; 042:Bansal Institute of Research & Technology, Bhopal:0.880"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,Royal College of Technology,Indore,"Opp. Pitra Parvat, Near Gommathgiri, Hatod Road Indore",h10,"BM College of Technology, Indore",0.799,564,"Oriental College of Technology, Bhopal",0.781,0.018,matched historical/defunct college,yes,oriental;shri ram,,"564:Oriental College of Technology, Bhopal:0.781","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 564:Oriental College of Technology, Bhopal:0.781; same-group collision risk: oriental;shri ram; score below 0.900 (0.799)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,22800,,2017-2018;2018-2019,AFRC:T:2017:page:6 | AFRC:T:2018:page:6,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h10:BM College of Technology, Indore:0.799; 564:Oriental College of Technology, Bhopal:0.781; h75:Shri Ram College of Technology, Bhopal:0.750"
review_possible_current_remap,manual_review,2,2,2017;2018,2017-2018,"Sagar Institute of Research Technology, Indore SIRTIndore.",Indore,KAILOD KARTAL BY-PASS ROAD INDORE,h36,"Sagar Institute of Research Technology & Science, Bhopal",0.807,429,"Sagar Institute of Research & Technology, Bhopal",0.792,0.015,matched historical/defunct college,no,sagar institute,,"429:Sagar Institute of Research & Technology, Bhopal:0.792","Best candidate is the exact/strong historical ID; resolve identity as historical, not current-public fee.","candidate is historical/defunct; do not attach to current college card; plausible current alternative exists: 429:Sagar Institute of Research & Technology, Bhopal:0.792; city/place evidence does not confirm the candidate; same-group collision risk: sagar institute; score below 0.900 (0.807)",Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Historical top match has a plausible current alternative; requires official source/manual mapping.,29000,,2017-2018;2018-2019,AFRC:T:2017:page:6 | AFRC:T:2018:page:6,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"h36:Sagar Institute of Research Technology & Science, Bhopal:0.807; 429:Sagar Institute of Research & Technology, Bhopal:0.792; h68:Vidya Sagar Institute of Technology, Indore:0.775"
review_current_match_ambiguous,manual_review,2,2,2025;2026,2025-2026,"Sant Singaji Engineering College, Dewas",Dewas,"NH 47 Near Sandalputr Fata Village Sandalpur Tehsil Khategaon, District - Dewas M.P. - 455339",384,"Rewa Engineering College, Rewa (REC)",0.704,h14,"Gwalior Engineering College, Gwalior",0.685,0.019,leading name token differs,no,,,"384:Rewa Engineering College, Rewa (REC):0.704","Top score exists, but the first distinctive name token differs from AFRC.",city/place evidence does not confirm the candidate; distinctive leading token mismatch can indicate a different institute; score below 0.900 (0.704),Historical IDs may be resolved for audit completeness but must not become current college fee display records.,Distinctive leading token differs; likely wrong institute unless source proves alias/renaming.,21000 | 25000,,2025-2026;2026-2027,AFRC:T:2025:page:5 | AFRC:T:2026:page:4,https://web.afrcmp.org/feesinformation/frm_showinstitutes.aspx,"384:Rewa Engineering College, Rewa (REC):0.704; h14:Gwalior Engineering College, Gwalior:0.685; h87:TECHNO ENGINEERING COLLEGE, INDORE:0.676"
